Association_ID	Microbe	Disease	Score	Pmid	Type	Position	Tendency	mtype	dtype
MBP00000474	Prevotella	Hepatitis, alcoholic	-0.160733219	29083504	Bacteria	Bloodstream	Decrease	microbe	disease
MBP00000475	Fusibacter	Ischemia	-0.674959431	22986438	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000476	Eubacterium	Crohn's disease	-0.313169924	26789999	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000477	Lactobacillus	Type i diabetes mellitus	-0.197838177	22043294	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000478	Veillonella dispar	Endocarditis	0.734694402	NCIT C86838	Bacteria	Other	Increase	microbe	disease
MBP00000479	Paeniclostridium sordellii	Autism	0.674959431	12173102	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000480	Clostridium cluster iv	Polycystic ovary syndrome	-0.396473593	28293234	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000481	Lachnospiraceae	Multiple sclerosis	-0.500433861		Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000482	Moraxella catarrhalis	Maxillary sinusitis	1.745595216	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000483	Holdemania	Kidney stone	-0.480421619	29353409	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000484	Hmpv	Asthma exacerbation measurement	2.222716471	29955859	Virus	Respiratory tract	Increase	microbe	disease
MBP00000485	Enteric bacteria	Orchitis	2.699837726	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000486	Mycobacterium tuberculosis	Pyelonephritis	1.55370969	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000487	Mycobacterium tuberculosis	Infectious meningitis	1.55370969	29955859	Bacteria	Central nervous system	Increase	microbe	disease
MBP00000488	Gnathostoma	Gnathomiasis	1.349918863	NCIT C122023	Bacteria	Other	Increase	microbe	disease
MBP00000489	Corynebacterium xerosis	Bacteriemia	1.000433861	NCIT C86326	Bacteria	Other	Increase	microbe	disease
MBP00000490	Scedosporium/pseudallescheria spp	Myofascial pain syndrome	2.699837726	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000491	Bacterium ic1311	Type i diabetes mellitus	0.674959431	22043294	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000492	Staphylococcus aureus	Otitis media	1.056385049	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000493	Echovirus	Aseptic meningitis	1.349918863	NCIT C112272	Virus	Other	Increase	microbe	disease
MBP00000494	Rothia	Mucocutaneous lymph node syndrome	-0.325474429	26322033	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000495	Faecalibacterium prausnitzii	Ankylosing spondylitis	-0.226861509	25434931	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000496	Pseudoallescheria boydii	Viral pneumonia	2.699837726	29955859	Fungus	Respiratory tract	Increase	microbe	disease
MBP00000497	Mannheimia	Type i diabetes mellitus	0.599701933	22043294	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000498	Cryptococcus laurentii	Peritonitis	1.199403865	NCIT C114269	Bacteria	Other	Increase	microbe	disease
MBP00000499	Trichosporon mucoides	Infection	1.349918863	NCIT C128550	Bacteria	Other	Increase	microbe	disease
MBP00000500	Peptostreptococcaceae	Attention deficit hyperactivity disorder	0.380936617	29580894	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000501	Oscillospira	Primary biliary cirrhosis	-0.349701933	28213609	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000502	Bacteroides	Parkinson's disease	0.215247159	26179554	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000503	Prevotella copri	Hiv infection	0.396473593	24034618	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000504	Pasteurellaceae	Ischemia	0.449186935	21741921	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000505	Barnesiella	Chronic kidney disease	-0.555679118	28588309	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000506	Clostridium bartlettii	Autism	-0.599701933	24130822	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000507	Verrucomicrobia	Obsolete chromosome disorder	-0.524444434	26930255	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000508	Veillonella	Subdural empyema	0.907446036	29955859	Bacteria	Central nervous system	Increase	microbe	disease
MBP00000509	Methanobrevibacter smithii	Inflammatory bowel disease	-0.50021693	29477743	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000510	Enterobacteriaceae	Response to transplant	0.256934967	22251469	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000511	Klebsiella	Hiv infection	0.31711849	23843452	Bacteria	Other	Increase	microbe	disease
MBP00000512	Leuconostoc	Cystic fibrosis	0.599701933	28279152	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000513	Rothia denticariosa	Dental caries	0.524444434	27898021	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000514	Parabacteroides	Psoriasis	-0.295330946	25319745	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000515	Clostridium cluster iv	Atopy	-0.396473593	22672413	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000516	Naegleria fowleri	Viral encephalitis	2.222716471	29955859	Parasite	Central nervous system	Increase	microbe	disease
MBP00000517	Oscillibacter	Polycystic ovary syndrome	-0.40516412	28293234	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000518	Porphyromonas	Periodontitis	0.571767613	27262209	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000519	Ruminococcus	Alcoholic pancreatitis	-0.259269974	29555983	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000520	Sphingomonas	Sclerosing cholangitis	0.436398804	26526357	Bacteria	Other	Increase	microbe	disease
MBP00000521	Ruminococcus callidus	Aids	-0.50021693	26962942	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000522	Candidatus portiera	Colorectal cancer	0.674959431	26170900	Bacteria	Other	Increase	microbe	disease
MBP00000523	Peptococcus	Ischemia	0.436398804	21820992	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000524	Lachnospira	Cirrhosis of liver	-0.699403865	21574172	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000525	Acanthamoeba palestinensis	Granulomatous dermatitis	1.199403865	NCIT C119303	Bacteria	Other	Increase	microbe	disease
MBP00000526	Prevotella loescheii	Oral cavity cancer	1.000433861	NCIT C86672	Bacteria	Other	Increase	microbe	disease
MBP00000527	Finegoldia magna	Infection	2.222716471	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000528	Lactonifactor	Chronic fatigue syndrome	0.674959431	23791918	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000529	Ruminococcus	Hiv infection	-0.518539947	24451087	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000530	Prevotella	Protracted bacteria bronchitis	0.160733219	29984544	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000531	Enterobacteriaceae	Pneumonia	1.027739868	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000532	Haemophilus	Crohn's disease	0.0	26574491	Bacteria	Other	Increase	microbe	disease
MBP00000533	Bifidobacterium longum	Non-alcoholic steatohepatitis	-0.436398804	29379536	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000534	Akkermansia	Hiv infection	-0.367347201	24586144	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000535	Parabacteroides	Clostridium difficile infection	0.295330946	22719852	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000536	Russulaceae	Cirrhosis of liver	-0.674959431	28578302	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000537	Christensenellaceae	Crohn's disease	-1.000433861	28852861	Bacteria	Other	Decrease	microbe	disease
MBP00000538	Anaerovorax	Appendicitis	0.50021693	24759879	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000539	Sutterella	Alcoholic pancreatitis	-0.41461126	29555983	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000540	Moraxella lacunata	Infectious meningitis	0.898373869	NCIT C86526	Bacteria	Other	Increase	microbe	disease
MBP00000541	Prevotella shahii	Refractory celiac disease	-0.599701933	28087531	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000542	Eikenella corrodens	Obesity	-0.599701933	19587155	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000543	Blautia	Aids	-0.285883806	29411528	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000544	Ruminococcaceae	Type i diabetes mellitus	-0.302119008	20613793	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000545	Streptococcus pneumoniae	Eye infection	1.39880773	29955859	Mycoplasma	Eye	Increase	microbe	disease
MBP00000546	Staphylococcus aureus	Plantar fasciitis	1.056385049	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000547	Tannerella	Periodontal	0.436398804	24629344	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000548	Streptococcaceae	Type 2 diabetes	0.463684921	19649281	Bacteria	Other	Increase	microbe	disease
MBP00000549	Coprococcus	Type 2 diabetes	-0.280013532	28008148	Bacteria	Urinary tract	Decrease	microbe	disease
MBP00000550	Streptococcus vestibularis	Oral tuberculosis	0.480421619	30054809	Bacteria	Other	Increase	microbe	disease
MBP00000551	Paraprevotella clara	Primary biliary cirrhosis	0.524444434	27243236	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000552	Haemophilus influenzae	Chronic obstructive pulmonary disease	0.699403865	29579057	Virus	Oral cavity	Increase	microbe	disease
MBP00000553	Bacteroides stercoris	Autism	0.50021693	20603222	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000554	Desulfovibrio	Multiple sclerosis	0.344404608	27176462	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000555	Mycoplasma pneumoniae	Viral encephalitis	1.921686475	29955859	Mycoplasma	Central nervous system	Increase	microbe	disease
MBP00000556	Oscillospira	Alcoholic pancreatitis	-0.349701933	29555983	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000557	Bacteroides fragilis	Ileocolitis	-0.329906621	16188921	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000558	Rhinovirus	Pneumonia	1.921686475	29955859	Virus	Respiratory tract	Increase	microbe	disease
MBP00000559	Blastomyces dermatitidis	Acute bacteria prostatitis	1.921686475	29955859	Fungus	Urinary tract	Increase	microbe	disease
MBP00000560	Porphyromonadaceae	Diverticular disease	-0.436398804	29533950	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000561	Bacterium new zealand b	Type i diabetes mellitus	0.674959431	22043294	Virus	Gastrointestinal tract	Increase	microbe	disease
MBP00000562	Mumps	Orchitis	2.699837726	29955859	Virus	Urinary tract	Increase	microbe	disease
MBP00000563	Streptococcus bovis	Sepsis	1.111358236	NCIT C86784	Bacteria	Other	Increase	microbe	disease
MBP00000564	Lachnoclostridium	Hashimoto's thyroiditis	-0.50021693	29320965	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000565	Oscillospira	Hiv infection	-0.349701933	24586144	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000566	Porphyromonas	Denture stomatitis	-0.285883806	28066812	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000567	Stenotrophomonas maltophilia	Pneumonia	2.000867722	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000568	Streptococcus milleri	Infection	1.199403865	NCIT C86795	Bacteria	Other	Increase	microbe	disease
MBP00000569	Sneathia	Urethritis	0.449186935	24220356	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000570	Klebsiella spp	Pyelonephritis	2.699837726	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000571	Clostridium perfringens	Rheumatoid arthritis	0.436398804	2889500	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000572	Neisseria weaverii	Pectobacterium carotovorum infection	1.349918863	NCIT C86610	Bacteria	Other	Increase	microbe	disease
MBP00000573	Porphyromonas	Autism spectrum disorder	-0.285883806	29371629	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000574	Mycoplasma hominis	Infection	2.097777735	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000575	Megamonas	Aids	-0.436398804	29411528	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000576	Candida sake	Spondylodiscitis	1.048888867	NCIT C127698	Bacteria	Other	Increase	microbe	disease
MBP00000577	Hymenobacter	Cystic fibrosis	-0.674959431	22538067	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000578	Thermicanus	Ulcerative colitis	-0.674959431	28852861	Bacteria	Other	Decrease	microbe	disease
MBP00000579	Moraxella catarrhalis and other spp	Eye infection	2.699837726	29955859	Bacteria	Eye	Increase	microbe	disease
MBP00000580	Parabacteroides	Non-alcoholic fatty liver disease	-0.295330946	29362454	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000581	Dorea	Hiv infection	-0.309359932	24586144	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000582	Capnocytophaga	Hepatitis b infection	-0.361141305	26606973	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000583	Citrobacter	Hepatitis c infection	0.380936617	28561276	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000584	Enteric bacilli	Idiopathic pulmonary fibrosis	2.699837726	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000585	Streptococcus gordonii	Peritonsillar abscess	0.424959431	23437130	Bacteria	Other	Increase	microbe	disease
MBP00000586	Staphylococcus	Laryngeal squamous cell carcinoma	0.329906621	23824228	Bacteria	Other	Increase	microbe	disease
MBP00000587	Granulicatella	Eosinophilic esophagitis	0.388427423	26034601	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000588	Veillonella dispar	Peritonsillar abscess	-0.367347201	23437130	Bacteria	Other	Decrease	microbe	disease
MBP00000589	Trichosporon spp	Myoclonic cerebellar dyssynergia	2.39880773	29955859	Fungus	Skin and soft tissue	Increase	microbe	disease
MBP00000590	Proteus	Crohn's disease	0.449186935	26313691	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000591	Nitrosomonas eutropha	Cystic fibrosis	-0.674959431	22538067	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000592	Campylobacter rectus	Barrett's esophagus	0.524444434	17554697	Bacteria	Other	Increase	microbe	disease
MBP00000593	Gemella haemolysans	Oral leukoplakia	-0.449186935	29250055	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000594	Enterovirus d68	Muscle aches	1.349918863	NCIT C125639	Virus	Other	Increase	microbe	disease
MBP00000595	Brachybacterium	Atopic eczema	-0.674959431	27812181	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000596	Synergistaceae	Cirrhosis of liver	-0.674959431	28578302	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000597	Finegoldia	Asthma	-0.524444434	27879060	Bacteria	Auditory meatus	Decrease	microbe	disease
MBP00000598	Catenibacterium mitsuokai	Schizophrenia	0.599701933	26336637	Bacteria	Throat	Increase	microbe	disease
MBP00000599	Clostridium disporicum	Autism	-0.674959431	12173102	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000600	Malassezia globosa	Crohn's disease	0.524444434	26574491	Bacteria	Other	Increase	microbe	disease
MBP00000601	Eubacterium saburreum	Chronic obstructive pulmonary disease	-0.555679118	23874580	Bacteria	Respiratory tract	Decrease	microbe	disease
MBP00000602	Bacteroides massiliensis	Autism	-0.555679118	24130822	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000603	Enterobacter cloacae	Panophthalmitis	2.097777735	29955859	Bacteria	Eye	Increase	microbe	disease
MBP00000604	Alistipes	Transient ischemic attack	0.292089702	26597155	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000605	Moraxella osloensis	Mouth neoplasm	-0.674959431	16672398	Bacteria	Other	Decrease	microbe	disease
MBP00000606	Bilophila	Alzheimers disease	0.388427423	0	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000607	Chlamydia trachomatis	Orchitis	1.796747739	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000608	Enterococcus	Acute bacteria prostatitis	1.06636927	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000609	Cytomegalovirus	Infection	0.960843238	NCIT C14196	Virus	Other	Increase	microbe	disease
MBP00000610	Gammaproteobacteria	Hiv infection	0.524444434	25057045	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000611	Enhydrobacter	Dandruff	0.599701933	27909689	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000612	Corynebacterium	Conjunctival disorder	0.305679118	25484919	Bacteria	Eye	Increase	microbe	disease
MBP00000613	Ruminococcus	Sclerosing cholangitis	0.518539947	26526357	Bacteria	Other	Increase	microbe	disease
MBP00000614	Bifidobacterium bifidum	Probiotic	0.960843238	NCIT C86197	Bacteria	Other	Increase	microbe	disease
MBP00000615	Klebsiella pneumoniae	Atrophic rhinitis	0.82922252	NCIT C86457	Bacteria	Other	Increase	microbe	disease
MBP00000616	Fusobacterium nucleatum	Oral leukoplakia	0.355271031	29250055	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000618	Lactobacillus	Cutaneous burn	-0.197838177	28333758	Bacteria	Urinary tract	Decrease	microbe	disease
MBP00000619	Cortinariaceae	Crohn's disease	0.674959431	27811291	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000620	Acanthamoeba lugdunensis	Acanthamoeba keratitis	1.199403865	NCIT C119302	Bacteria	Other	Increase	microbe	disease
MBP00000621	Bergeyella	Appendicitis	-0.463684921	24759879	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000622	Salmonella	Hiv infection	0.50021693	23843452	Bacteria	Other	Increase	microbe	disease
MBP00000623	Leptotrichia	Pancreatic carcinoma	0.298671937	29221120	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000624	Roseburia hominis	Ulcerative colitis	-0.50021693	24021287	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000625	Bacteroides vulgatus	Type 1 diabetes	0.0	23274889	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000626	Shigella	Autism	0.388427423	24130822	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000627	Veillonella dispar	Pneumonia	-0.367347201	26151645	Bacteria	Other	Decrease	microbe	disease
MBP00000628	Barnesiellaceae	Hiv infection	-0.524444434	24586144	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000629	Enteric gram-negative bacilli	Acute chest syndrome	2.699837726	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000630	Helicobacter	Disease-free	-0.436398804	27775059	Bacteria	Throat	Decrease	microbe	disease
MBP00000631	Human metapneumovirus	Pneumonia	2.699837726	29955859	Virus	Respiratory tract	Increase	microbe	disease
MBP00000632	Escherichia coli	Pyelonephritis	1.143535225	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000633	Catonella	Autoimmune polyendocrinopathy type 1	-0.449186935	29503707	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000634	Ruminococcaceae	Parkinson's disease	-0.302119008	28843021	Bacteria	Nasal cavity	Decrease	microbe	disease
MBP00000635	Eggerthella	Interstitial cystitis	-0.339353761	22974186	Bacteria	Urinary tract	Decrease	microbe	disease
MBP00000636	Clostridium asparagiform	Crohn's disease	-0.599701933	26789999	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000637	Actinomyces neuii	Urgency urinary incontinence	0.599701933	25006228	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000638	Streptococcus intermedius	Liver disease	0.849918863	NCIT C86794	Bacteria	Other	Increase	microbe	disease
MBP00000639	Powassan virus	Chikungunya encephalitis	1.199403865	NCIT C134498	Virus	Other	Increase	microbe	disease
MBP00000640	Staphylococcus spp	Tenosynovitis	1.921686475	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000641	Helicobacter cinaedi	Bacteriemia	1.048888867	NCIT C86437	Bacteria	Other	Increase	microbe	disease
MBP00000642	Listeria	Preeclampsia	0.599701933	25492799	Bacteria	Placenta	Increase	microbe	disease
MBP00000643	Streptococcus	Psoriasis	0.18761193	22065152	Bacteria	Other	Increase	microbe	disease
MBP00000644	Streptococcus alactolyticus	Sclerosing cholangitis	0.674959431	28740343	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000645	Neisseria	Gastric carcinoma	-0.309359932	29102920	Bacteria	Other	Decrease	microbe	disease
MBP00000646	Roseburia	Obesity	-0.241860992	23055155	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000647	Prevotella	Aggressive periodontitis	0.0	28260061	Bacteria	Other	Increase	microbe	disease
MBP00000648	Corynebacterium xerosis	Streptococcal pharyngitis	1.000433861	NCIT C86326	Bacteria	Other	Increase	microbe	disease
MBP00000649	Aerococcus sanguinicola	Endocarditis	1.111358236	NCIT C119314	Bacteria	Other	Increase	microbe	disease
MBP00000650	Clostridia cluster i	Juvenile idiopathic arthritis	-0.599701933	27833598	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000651	Streptococcus	Disease-free	0.18761193	27775059	Bacteria	Throat	Increase	microbe	disease
MBP00000652	Gemella sanguinis	Behcet's syndrome	-0.555679118	26037240	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000653	Micrococcus	Type 2 diabetes	0.555679118	23300163	Bacteria	Foot	Increase	microbe	disease
MBP00000654	St louis encephalitis	Viral encephalitis	2.699837726	29955859	Virus	Central nervous system	Increase	microbe	disease
MBP00000655	Erysipelotrichaceae	Cystic fibrosis	-0.424959431	27143104	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000656	Oscillospira	Sclerosing cholangitis	0.349701933	26526357	Bacteria	Other	Increase	microbe	disease
MBP00000657	Haemophilus	Periodontal	0.27719328	22675498	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000658	Clostridium difficile	Allergic sensitization measurement	0.50021693	17047098	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000659	Mitis group streptococci	Dental caries	-0.599701933	20927511	Bacteria	Bloodstream	Decrease	microbe	disease
MBP00000660	Measles virus	Subacute sclerosing panencephalitis	1.199403865	NCIT C14237	Virus	Other	Increase	microbe	disease
MBP00000661	Human papillomavirus type 18	Cervical carcinoma	1.199403865	NCIT C14377	Virus	Other	Increase	microbe	disease
MBP00000662	Streptococcus mitis	Mouth neoplasm	0.0	16672398	Bacteria	Other	Increase	microbe	disease
MBP00000663	Faecalibacterium	Crohn's disease	-1.665386973	26574491	Bacteria	Other	Decrease	microbe	disease
MBP00000664	Bacteroidetes	Colorectal carcinoma	-0.31711849	22009990	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000665	Rubella	Orchitis	2.699837726	29955859	Virus	Urinary tract	Increase	microbe	disease
MBP00000666	Roseburia	Ischemia	0.0	26702134	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000667	Firmicutes	Obesity	0.355271031	18779823	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000668	Parvimonas	Head and neck malignant neoplasia	0.367347201	28173873	Bacteria	Other	Increase	microbe	disease
MBP00000669	Odoribacter	Ulcerative colitis	-0.361141305	28852861	Bacteria	Other	Decrease	microbe	disease
MBP00000670	Eubacterium	Obesity	-0.313169924	23055155	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000671	Roseburia	Sclerosing cholangitis	-0.241860992	26526357	Bacteria	Other	Increase	microbe	disease
MBP00000672	Lactobacillus gasseri	Gangrene	0.82922252	NCIT C123492	Bacteria	Other	Increase	microbe	disease
MBP00000673	Anaerobacter	Chronic kidney disease	-0.555679118	28588309	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000674	Selenomonas	Cystic fibrosis	0.355271031	29445257	Bacteria	Throat	Increase	microbe	disease
MBP00000675	Clostridium clostridioforme	Type 2 diabetes	0.555679118	23719380	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000676	Yimella	Vitiligo	-0.674959431	26758568	Bacteria	Skin and soft tissue	Decrease	microbe	disease
MBP00000677	Staphylococcus spp	Abdominal abscess	1.921686475	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000678	Pasteurella bettyae	Infection	1.199403865	NCIT C86638	Bacteria	Other	Increase	microbe	disease
MBP00000679	Escherichia coli	Viral pneumonia	1.143535225	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000680	Prevotella	Type ii diabetes mellitus	0.160733219	28316574	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000681	Peptococcus	Cystic fibrosis	-0.436398804	29445257	Bacteria	Throat	Decrease	microbe	disease
MBP00000682	Propionibacterium acnes	Acne	-0.849918863	28000755	Bacteria	Skin and soft tissue	Decrease	microbe	disease
MBP00000683	Eubacterium	Ischemia	-0.939509771	23757279	Bacteria	Other	Decrease	microbe	disease
MBP00000684	Enterobacter	Crohn's disease	-0.424959431	26789999	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000685	Asaccharobacter	Chronic fatigue syndrome	-0.555679118	23791918	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000686	Ruminococcus torques	Autism	0.927369843	12173102	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000687	Veillonella parvula	Celiac disease	0.0	24657864	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000688	Neisseria	Idiopathic pulmonary fibrosis	0.309359932	25184687	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000689	Bulleidia moorei	Autoimmune polyendocrinopathy type 1	-0.480421619	29503707	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000690	Candida intermedia	Infection	1.349918863	NCIT C120706	Bacteria	Other	Increase	microbe	disease
MBP00000691	Staphylococcus equorum	Opisthorchiasis	0.674959431	27447938	Bacteria	Gallbladder	Increase	microbe	disease
MBP00000692	Veillonella	Peptic esophagitis	0.226861509	23496929	Bacteria	Oesophagus	Increase	microbe	disease
MBP00000693	Streptococcus spp	Osteomyelitis	1.745595216	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000694	Firmicutes	Colon adenocarcinoma	-0.355271031	27194068	Bacteria	Other	Decrease	microbe	disease
MBP00000695	Eggerthella	Bacteria vaginosis	1.357415045	28583109	Bacteria	Vagina	Increase	microbe	disease
MBP00000696	Eggerthella lenta	Type 2 diabetes	0.524444434	23023125	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000697	Desulfovibrio	Crohn's disease	-0.688809216	28852861	Bacteria	Other	Decrease	microbe	disease
MBP00000698	Human herpesvirus 1	Cold sores	1.349918863	NCIT C14311	Virus	Other	Increase	microbe	disease
MBP00000699	Hsv-1 	Genital herpes	2.699837726	29955859	Virus	Genitals	Increase	microbe	disease
MBP00000700	Serratia	Type i diabetes mellitus	0.449186935	22043294	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000701	Roseburia inulinivorans	Pervasive developmental disorder - not otherwise specified	0.50021693	24130822	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000702	Gammaproteobacteria	Asthma	0.524444434	23265859	Bacteria	Oral cavity	Increase	microbe	disease
